Account ID,Account Owner Region,Account Name,Type,Sub Type,Support SDR,Billing Country,Industry,Employees,Account Propensity Score (APS),Global 2000 Rank,Expected SDR Assignment ,Match/Mismatch
123456,DE,Company 1,Prospect,Suspect,Comm Rep,Germany,Retailers & eCommerce,10,31,,Comm Rep,Match
123457,DE,Company 2,Prospect,Suspect,SDR,Germany,Retailers & eCommerce,433,25,,Comm Rep,Mismatch
123458,DE,Company 3,Prospect,Suspect,SDR,Germany,Industrial Goods,450,39,,Comm Rep,Mismatch
123459,DE,Company 4,Prospect,Suspect,Comm Rep,Germany,Industrial Goods,847,58,,SDR,Mismatch
123460,DE,Company 5,Prospect,Suspect,SDR,Germany,Healthcare Providers,65,17,,Comm Rep,Mismatch
123461,DE,Company 6,Prospect,Suspect,SDR,Germany,Healthcare Providers,3,21,,Comm Rep,Mismatch
123462,DE,Company 7,Prospect,Suspect,SDR,Germany,Healthcare Providers,30,20,,Comm Rep,Mismatch
123463,DE,Company 8,Prospect,Suspect,Comm Rep,Germany,Nonprofit Organization,10,33,,Comm Rep,Match
123464,DE,Company 9,Prospect,Suspect,SDR,Germany,Hardlines,132,36,,Comm Rep,Mismatch
123465,DE,Company 10,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,3,18,,Comm Rep,Mismatch
123466,DE,Company 11,Prospect,Suspect,SDR,Germany,Retailers & eCommerce,10,23,,Comm Rep,Mismatch
123467,DE,Company 12,Prospect,Suspect,SDR,Germany,"Grocery, Consumables, Food & Beverage",1,26,,Comm Rep,Mismatch
123468,DE,Company 13,Prospect,Suspect,Comm Rep,Germany,Wealth & Asset Management,122,55,,Comm Rep,Match
123469,DE,Company 14,Prospect,Suspect,SDR,Germany,Construction,32,37,,Comm Rep,Mismatch
123470,DE,Company 15,Prospect,Suspect,SDR,Germany,"Grocery, Consumables, Food & Beverage",1,18,,Comm Rep,Mismatch
123471,DE,Company 16,Prospect,Suspect,SDR,Germany,Industrial Goods,510,15,903,SDR,Match
