Account ID,Account Owner Region,Account Name,Type,Sub Type,Support SDR,Billing Country,Industry,Employees,Account Propensity Score (APS),Global 2000 Rank
123456,DE,Company 1,Prospect,Suspect,Comm Rep,Germany,Retailers & eCommerce,10,31,
123457,DE,Company 2,Prospect,Suspect,SDR,Germany,Retailers & eCommerce,433,25,
123458,DE,Company 3,Prospect,Suspect,SDR,Germany,Industrial Goods,450,39,
123459,DE,Company 4,Prospect,Suspect,Comm Rep,Germany,Industrial Goods,847,58,
123460,DE,Company 5,Prospect,Suspect,SDR,Germany,Healthcare Providers,65,17,
123461,DE,Company 6,Prospect,Suspect,SDR,Germany,Healthcare Providers,3,21,
123462,DE,Company 7,Prospect,Suspect,SDR,Germany,Healthcare Providers,30,20,
123463,DE,Company 8,Prospect,Suspect,Comm Rep,Germany,Nonprofit Organization,10,33,
123464,DE,Company 9,Prospect,Suspect,SDR,Germany,Hardlines,132,36,
123465,DE,Company 10,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,3,18,
123466,DE,Company 11,Prospect,Suspect,SDR,Germany,Retailers & eCommerce,10,23,
123467,DE,Company 12,Prospect,Suspect,SDR,Germany,"Grocery, Consumables, Food & Beverage",1,26,
123468,DE,Company 13,Prospect,Suspect,Comm Rep,Germany,Wealth & Asset Management,122,55,
123469,DE,Company 14,Prospect,Suspect,SDR,Germany,Construction,32,37,
123470,DE,Company 15,Prospect,Suspect,SDR,Germany,"Grocery, Consumables, Food & Beverage",1,18,
123471,DE,Company 16,Prospect,Suspect,SDR,Germany,Industrial Goods,510,15,903
123472,DE,Company 17,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,550,21,
123473,DE,Company 18,Prospect,Suspect,SDR,Germany,Technology Hardware,311,79,
123474,DE,Company 19,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,678,52,
123475,DE,Company 20,Prospect,Suspect,Comm Rep,Germany,Hotels and Accommodations,2924,43,
123476,DE,Company 21,Prospect,Suspect,Comm Rep,Germany,Construction,750,49,
123477,DE,Company 22,Prospect,Suspect,Comm Rep,Germany,Power & Utilities,991,53,
123478,DE,Company 23,Prospect,Suspect,Comm Rep,Germany,Federal & National Government,41,62,
123479,DE,Company 24,Prospect,Suspect,SDR,Germany,Retailers & eCommerce,36,77,
123480,DE,Company 25,Prospect,Suspect,SDR,Germany,Other Private Service,585,41,
123481,DE,Company 26,Prospect,Suspect,Comm Rep,Germany,Software - B2B,741,43,
123482,DE,Company 27,Prospect,Suspect,Comm Rep,Germany,Other Private Service,1,30,
123483,DE,Company 28,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,558,56,
123484,DE,Company 29,Prospect,Suspect,Comm Rep,Germany,Industrial Goods,33,43,
123485,DE,Company 30,Prospect,Suspect,Comm Rep,Germany,Software - B2B,778,52,
123486,DE,Company 31,Prospect,Suspect,Comm Rep,Germany,Power & Utilities,57,62,
123487,DE,Company 32,Prospect,Suspect,SDR,Germany,Power & Utilities,764,37,
123488,DE,Company 33,Prospect,Suspect,SDR,Germany,Power & Utilities,104,23,
123489,DE,Company 34,Prospect,Suspect,SDR,Germany,Power & Utilities,587,79,
123490,DE,Company 35,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,952,38,
123491,DE,Company 36,Prospect,Suspect,SDR,Germany,Power & Utilities,122,20,
123492,DE,Company 37,Prospect,Suspect,SDR,Germany,Federal & National Government,617,42,
123493,DE,Company 38,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,548,17,
123494,DE,Company 39,Prospect,Suspect,SDR,Germany,Retailers & eCommerce,1,37,
123495,DE,Company 40,Prospect,Suspect,SDR,Germany,"Grocery, Consumables, Food & Beverage",726,37,
123496,DE,Company 41,Prospect,Suspect,SDR,Germany,Federal & National Government,617,98,
123497,DE,Company 42,Prospect,Suspect,SDR,Germany,Federal & National Government,617,42,
123498,DE,Company 43,Prospect,Suspect,SDR,Germany,Federal & National Government,316,25,
123499,DE,Company 44,Prospect,Suspect,Comm Rep,Germany,Federal & National Government,316,59,
123500,DE,Company 45,Prospect,Suspect,SDR,Germany,Federal & National Government,316,26,
123501,DE,Company 46,Prospect,Suspect,Comm Rep,Germany,Wealth & Asset Management,2,44,
123502,DE,Company 47,Prospect,Suspect,SDR,Germany,"QSR, Restaurants & Food Service",,16,
123503,DE,Company 48,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,800,28,
123504,DE,Company 49,Prospect,Suspect,SDR,Germany,Professional Services,,21,
123505,DE,Company 50,Prospect,Suspect,SDR,Germany,Healthcare Providers,30,36,
123506,DE,Company 51,Prospect,Suspect,SDR,Germany,Healthcare Providers,0,17,
123507,DE,Company 52,Prospect,Suspect,SDR,Germany,Nonprofit Organization,60,13,
123508,DE,Company 53,Prospect,Suspect,SDR,Germany,Nonprofit Organization,21,22,
123509,DE,Company 54,Prospect,Suspect,SDR,Germany,Healthcare Providers,6,15,
123510,DE,Company 55,Prospect,Suspect,SDR,Germany,Healthcare Providers,878,37,
123511,DE,Company 56,Prospect,Suspect,Comm Rep,Germany,Professional Services,1,87,
123512,DE,Company 57,Prospect,Suspect,SDR,Germany,Other Private Service,1,17,
123513,DE,Company 58,Prospect,Suspect,SDR,Germany,Healthcare Providers,64,20,
123514,DE,Company 59,Prospect,Suspect,SDR,Germany,Professional Services,42,14,
123515,DE,Company 60,Prospect,Suspect,Comm Rep,Germany,Healthcare Providers,144,33,
123516,DE,Company 61,Prospect,Suspect,SDR,Germany,,,26,
123517,DE,Company 62,Prospect,Suspect,Comm Rep,Germany,Retailers & eCommerce,992,66,
123518,DE,Company 63,Prospect,Suspect,Comm Rep,Germany,Hardlines,791,44,
123519,DE,Company 64,Prospect,Suspect,Comm Rep,Germany,Software - B2B,653,65,
123520,DE,Company 65,Prospect,Suspect,Comm Rep,Germany,,,53,
123521,DE,Company 66,Prospect,Suspect,SDR,Germany,Retailers & eCommerce,423,42,
123522,DE,Company 67,Prospect,Suspect,Comm Rep,Germany,HCLS Other,3,40,
123523,DE,Company 68,Prospect,Suspect,Comm Rep,Germany,Industrial Goods,63,34,
123524,DE,Company 69,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,520,51,
123525,DE,Company 70,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,712,87,
123526,DE,Company 71,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,712,23,
123527,DE,Company 72,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,712,55,
123528,DE,Company 73,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,206,41,
123529,DE,Company 74,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,712,70,
123530,DE,Company 75,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,709,54,
123531,DE,Company 76,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,732,57,
123532,DE,Company 77,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,712,64,
123533,DE,Company 78,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,527,37,
123534,DE,Company 79,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,603,37,
123535,DE,Company 80,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,716,50,
123536,DE,Company 81,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,568,22,
123537,DE,Company 82,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,712,44,
123538,DE,Company 83,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,652,44,
123539,DE,Company 84,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,729,65,
123540,DE,Company 85,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,885,55,
123541,DE,Company 86,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,628,74,
123542,DE,Company 87,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,525,38,
123543,DE,Company 88,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,600,54,
123544,DE,Company 89,Prospect,Suspect,Comm Rep,Germany,Industrial Goods,22,28,
123545,DE,Company 90,Prospect,Suspect,Comm Rep,Germany,Automotive,1516,50,
123546,DE,Company 91,Prospect,Suspect,Comm Rep,Germany,Industrial Goods,543,56,
123547,DE,Company 92,Prospect,Suspect,SDR,Germany,Wealth & Asset Management,1,25,
123548,DE,Company 93,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,1397,37,
123549,DE,Company 94,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,723,52,
123550,DE,Company 95,Customer,Capacity,SDR,Germany,Hardlines,5,100,
123551,DE,Company 96,Customer,Capacity,SDR,Germany,Retailers & eCommerce,897,100,
123552,DE,Company 97,Customer,Capacity,SDR,Germany,Hardlines,1355,100,
123553,DE,Company 98,Customer,Capacity,SDR,Germany,Hardlines,186,100,
123554,DE,Company 99,Prospect,Suspect,SDR,Germany,Hardlines,1957,79,
123555,DE,Company 100,Customer,Capacity,SDR,Germany,Retailers & eCommerce,550,100,
123556,DE,Company 101,Prospect,Suspect,SDR,Germany,"Grocery, Consumables, Food & Beverage",130,12,
123557,DE,Company 102,Customer,Capacity,SDR,Germany,Softlines,3,100,
123558,DE,Company 103,Customer,Capacity,SDR,Germany,"Grocery, Consumables, Food & Beverage",144,100,
123559,DE,Company 104,Customer,Capacity,SDR,Germany,"Travel Tech, OTAs and TMCs",364,100,
123560,DE,Company 105,Customer,Capacity,SDR,Germany,Softlines,257,100,
123561,DE,Company 106,Self Service,On Demand,Comm Rep,United States,Regional Commercial & Retail Banks,89182,56,528
123562,DE,Company 107,Customer,Capacity,SDR,Germany,Hardlines,7239,100,
